,Date,ITS_LIVE Mean Velocity,Mask Ratio
685,2019-10-09,1531.9,0.941
688,2019-10-12,1612.6,0.978
691,2019-10-14,1682.7,0.934
692,2019-10-15,1638.9,0.935
693,2019-10-20,1693.1,0.932
694,2019-10-21,1697.1,0.925
696,2019-10-27,1611.4,0.837
697,2019-11-01,1565.1,0.867
698,2019-11-02,1587.3,0.867
699,2019-11-05,1527.5,0.833
700,2019-11-07,1555.5,0.903
701,2019-11-08,1700.2,0.897
702,2019-11-13,1873.5,0.809
703,2019-11-14,1694.1,0.896
704,2019-11-19,1581.4,0.889
705,2019-11-20,1646.2,0.824
706,2019-11-25,1618.3,0.893
707,2019-11-26,1763.6,0.915
708,2019-12-01,1633.0,0.959
709,2019-12-02,1612.1,0.932
710,2019-12-07,1715.3,0.842
711,2019-12-08,1613.0,0.847
712,2019-12-14,1685.0,0.824
713,2019-12-19,1608.7,0.867
714,2019-12-20,1649.6,0.948
715,2019-12-23,1662.3,0.878
716,2020-01-01,1770.1,0.831
717,2020-01-06,1657.3,0.836
718,2020-01-07,1640.7,0.831
719,2020-01-10,1886.2,0.871
720,2020-01-13,1739.8,0.823
721,2020-01-18,1637.3,0.878
722,2020-01-19,1554.1,0.899
723,2020-01-22,1602.1,0.832
724,2020-02-12,1503.7,0.811
725,2020-02-18,1560.6,0.871
726,2020-03-22,1829.3,0.833
727,2020-03-25,1403.7,0.887
728,2020-03-28,1817.7,0.913
729,2020-03-30,1543.1,0.93
730,2020-03-31,1419.2,0.862
731,2020-04-06,1484.0,0.87
732,2020-04-09,1942.0,0.821
733,2020-04-12,1187.8,0.848
734,2020-04-21,1953.3,0.821
735,2020-04-27,1619.6,0.892
736,2020-04-29,1532.1,0.924
737,2020-05-03,1496.2,0.93
738,2020-05-05,1434.7,0.976
739,2020-05-06,1402.0,0.976
740,2020-05-09,1737.7,0.906
741,2020-05-12,1350.6,0.893
742,2020-05-14,1670.6,0.988
744,2020-05-16,1596.0,0.937
746,2020-05-17,1592.0,0.986
749,2020-05-18,1526.4,0.866
752,2020-05-19,1634.3,0.98
754,2020-05-21,1732.6,0.977
758,2020-05-22,1613.6,0.921
759,2020-05-23,1483.7,0.826
760,2020-05-24,1679.7,0.976
766,2020-05-27,1625.9,0.847
767,2020-05-30,1668.3,0.916
768,2020-06-04,1463.3,0.921
769,2020-06-05,1569.4,0.855
770,2020-06-15,1755.6,0.94
772,2020-06-16,1781.6,0.95
776,2020-06-17,1683.5,0.856
778,2020-06-20,1964.8,0.922
780,2020-06-22,1786.6,0.815
782,2020-06-23,1768.6,0.806
786,2020-06-25,1862.0,0.917
788,2020-06-28,1686.9,0.846
789,2020-06-29,1653.3,0.943
790,2020-06-30,1871.5,0.913
792,2020-07-01,1865.5,0.901
796,2020-07-06,1953.1,0.867
799,2020-07-10,1488.6,0.834
800,2020-07-11,1643.2,0.933
803,2020-07-15,1806.3,0.816
805,2020-07-16,1814.2,0.87
807,2020-07-20,1929.6,0.83
809,2020-07-21,1881.2,0.856
813,2020-08-09,1680.8,0.892
814,2020-08-10,1596.8,0.871
815,2020-08-14,1594.9,0.837
817,2020-08-16,1644.3,0.819
820,2020-08-17,1718.4,0.885
823,2020-08-19,1865.1,0.871
828,2020-08-21,1777.2,0.825
829,2020-08-22,1928.7,0.879
833,2020-08-24,1728.7,0.888
834,2020-08-25,1459.6,0.826
835,2020-08-26,1669.3,0.853
836,2020-08-27,1717.5,0.896
837,2020-08-28,1755.4,0.826
838,2020-08-29,1806.5,0.921
842,2020-09-02,1646.6,0.913
843,2020-09-03,1762.0,0.822
844,2020-09-06,1678.8,0.829
847,2020-09-08,1684.6,0.875
